Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R19,1K/0603/5%,C_0603,257.2,-105.305,0.0,top
R2,100K/0603/5%,C_0603,184.8,-31.95,180.0,top
R20,200R/0603/5%,C_0603,257.2,-107.555,0.0,top
R21,9.1K/0603/1%,C_0603,235.55,-86.825,90.0,top
R22,4.7K/0603/1%,C_0603,237.8,-86.825,90.0,top
R23,10K/0603/5%,C_0603,232.4,-121.4,0.0,top
R26,1K/0603/5%,C_0603,260.85,-98.555,0.0,top
R27,200R/0603/5%,C_0603,260.85,-100.805,0.0,top
R28,10K/0603/5%,C_0603,260.85,-103.055,0.0,top
R29,1K/0603/5%,C_0603,260.85,-105.305,0.0,top
R3,10K/0603/5%,C_0603,253.55,-105.305,0.0,top
R30,10K/0603/5%,C_0603,258.285,-59.75,0.0,top
R31,10K/0603/5%,C_0603,258.285,-62.0,0.0,top
R32,4.7K/0603/5%,C_0603,258.285,-64.25,0.0,top
R33,4.7K/0603/5%,C_0603,258.285,-66.5,0.0,top
R34,1K/0603/5%,C_0603,237.75,-73.375,-90.0,top
R35,1K/0603/5%,C_0603,235.5,-73.375,-90.0,top
R36,10K/0603/5%,C_0603,220.1,-68.8,0.0,top
R37,10K,C_0603,165.275,-54.9,0.0,top
R38,20K,C_0603,165.275,-57.15,0.0,top
R4,1K/0603/5%,C_0603,253.55,-107.555,0.0,top
R5,200R/0603/5%,C_0603,257.2,-98.555,0.0,top
R6,1K/0603/5%,C_0603,182.96,-54.65,0.0,top
R7,100K/0603/5%,C_0603,232.825,-111.0,0.0,top
R8,1K/0603/5%,C_0603,229.68,-85.837893,0.0,top
R9,1K/0603/5%,C_0603,197.7375,-95.737499,90.0,top
RL1,G5NB-1A-E_DC5,Relay_G5NB-1A-E DC5,199.183331,-110.649999,0.0,top
RL2,G5NB-1A-E_DC5,Relay_G5NB-1A-E DC5,209.249999,-110.649999,0.0,top
RL3,G5NB-1A-E_DC5,Relay_G5NB-1A-E DC5,189.116665,-110.649999,0.0,top
RL4,G5NB-1A-E_DC5,Relay_G5NB-1A-E DC5,179.049999,-110.649999,0.0,top
RV1,10D561,RV_Disc_D12mm_W5.8mm_P7.5mm,161.8,-124.2,0.0,top
SW1,tactileSW/4.2x3.3,SW_SPST_PTS810,240.925,-78.675,-90.0,top
SW2,tactileSW/4.2x3.3,SW_SPST_PTS810,235.975,-78.675,-90.0,top
U1,XL1509-5.0E1,SOIC-8_3.9x4.9mm_P1.27mm,185.375,-48.225,-90.0,top
U10,ESP32-WROOM-32E,ESP32-WROOM-32E,240.5,-49.745,0.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,181.2,-63.85,90.0,top
U3,PCF8574/SOIC-16W,SOIC-16W_7.5x10.3mm_P1.27mm,191.35,-83.965,0.0,top
U4,ACS712ELCTR-20A-T/SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,217.425,-116.375,90.0,top
U5,EL357N-G/SOP-4,OPTO_EL357N-G,247.025,-100.93,0.0,top
U6,EL357N-G/SOP-4,OPTO_EL357N-G,247.025,-107.255,0.0,top
U8,EL357N-G/SOP-4,OPTO_EL357N-G,247.025,-113.58,0.0,top
U9,EL357N-G/SOP-4,OPTO_EL357N-G,247.025,-119.905,0.0,top
Z1,3.3V/SOD-123,D_SOD-123,235.985,-102.37,90.0,top
Z2,3.3V/SOD-123,D_SOD-123,175.625,-45.4,180.0,top
