"Reference","Value","Footprint","Qty","DNP","Thegioiic_Buylink"
"SW1,SW2","tactileSW/4.2x3.3","trainFootprint:SW_SPST_PTS810","2","","https://www.thegioiic.com/nut-nhan-4-2x3-3mm-cao-2-5mm-4-chan-smd-v2"
"TP1","TestPoint","trainFootprint:TestPoint_Pad_D1.0mm","1","DNP",""
"U1","XL1509-5.0E1","trainFootprint:SOIC-8_3.9x4.9mm_P1.27mm","1","","https://www.thegioiic.com/xl1509-5-0e1-ic-on-ap-5v-2a-8-soic"
"U2","AMS1117-3.3","trainFootprint:SOT-223-3_TabPin2","1","","https://www.thegioiic.com/ams1117-3-3v-ic-on-ap-3-3v-1a-sot-223"
"U3","PCF8574/SOIC-16W","trainFootprint:SOIC-16W_7.5x10.3mm_P1.27mm","1","","https://www.thegioiic.com/pcf8574at-ic-i-o-expander-100khz-16-soic"
"U4","ACS712ELCTR-20A-T/SOIC-8","trainFootprint:SOIC-8_3.9x4.9mm_P1.27mm","1","","https://www.thegioiic.com/acs712elctr-20a-t-cam-bien-dong-20a-1-kenh"
"U5,U6,U8,U9","EL357N-G/SOP-4","trainFootprint:OPTO_EL357N-G","4","","https://www.thegioiic.com/el357n-g-optoisolator-transistor-output-3750vrms-1-channel-4-sop"
"U7","B0505S-1W","IVS_FOOTPRINTS:B0505S","1","","https://www.thegioiic.com/b0505s-1wr3-chuyen-doi-dc-dc-vao-5v-ra-5v-1w"
"U10","ESP32-WROOM-32E","trainFootprint:ESP32-WROOM-32E","1","","https://www.thegioiic.com/esp32-wroom-32e-n4-module-wifi-bluetooth-4mb-flash-2-4ghz"
"Z1,Z2","3.3V/SOD-123","trainFootprint:D_SOD-123","2","","https://www.thegioiic.com/bzt52h-c3v3-diode-zener-3-3v-375mw-sod-123f"
